Unnamed: 0,Title,Content,Level,Tag,Category,Author
168,[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part4: 게임 서버,"['C#', 'MMORPG', '게임 서버']",중급자,"['C#', 'Unity', '네트워크']","['BEST', '게임 개발', '게임 프로그래밍']",['Rookiss']
169,[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part1: C# 기초 프로그래밍 입문,"['C#', 'MMORPG', '유니티', '게임 프로그래밍']",입문자,['C#'],"['BEST', '게임 개발', '게임 프로그래밍']",['Rookiss']
170,처음하는 SQL과 데이터베이스(MySQL) 부트캠프 [입문부터 활용까지] (2023년까지 업데이트),"['다양한 문제로 익히고 연습하는 SQL 문법', '실제 데이터베이스로 연습하는 실전 SQL 데이터 분석', '파이썬으로 MySQL 을 자동으로 제어하는 기술']",초급자,"['Python', 'SQL', 'MySQL', 'DBMS/RDBMS', '데이터 엔지니어링']","['BEST', '데이터 사이언스', '데이터 분석']",['잔재미코딩']
171,데이터 분석 SQL Fundamentals,"['다양한 유형의 조인(Join)과 조인 동작 메커니즘', 'Group by와 집계(Aggregation) 함수 이해 및 데이터 집합 레벨의 변형', 'Date, Timestamp, Interval을 자유롭게 다루기', '다양한 유형의 Analytic SQL과 활용법', 'Analytic SQL 실무 적용 시 유의 해야 할 다양한 팁', '서브쿼리의 이해와 다양한 활용']",초급자,"['SQL', 'PostgreSQL', 'DBMS/RDBMS']","['BEST', '데이터 사이언스', '데이터 분석']",['권 철민']
172,스프링 부트 - 핵심 원리와 활용,"['스프링 부트의 내부 동작 원리', '스프링 부트 라이브러리 만들기', '스프링 부트가 제공하는 핵심 기능 이해', '스프링 부트를 활용한 모니터링']",초급자,"['Spring Boot', 'Spring', 'spring-boot-actuator', 'Prometheus', 'grafana']","['BEST', '개발 · 프로그래밍', '백엔드']",['김영한']
173,실전! 스프링 부트와 JPA 활용2 - API 개발과 성능 최적화,"['스프링 부트와 JPA를 활용해서 API를 개발하는 올바른 방법을 이해합니다.', '스프링 부트와 JPA를 활용해서 API 조회 성능을 튜닝하는 방법을 이해합니다.', '스프링 부트와 JPA를 활용해서 실무 성능 최적화 방법을 이해합니다.']",중급자,"['Java', 'Spring', 'Spring Boot', 'JPA']","['BEST', '개발 · 프로그래밍', '백엔드']",['김영한']
174,Vue 3 시작하기,"['Vue.js', '프론트엔드 개발', '웹 개발']",초급자,"['Vue.js', 'Vue 3', 'JavaScript']","['NEW', '개발 · 프로그래밍', '프론트엔드']",['장기효(캡틴판교)']
175,독하게 시작하는 C 프로그래밍,"['C언어 문법', '최소한의 컴퓨터 구조', '포인터에 대한 확실한 이해']",초급자,"['vc++', 'C', '컴퓨터 구조', 'assembly-language']","['NEW', '개발 · 프로그래밍', '프로그래밍 언어']",['널널한 개발자']
176,언리얼로 만드는 게임사운드 - 초급,"['게임 사운드', '사운드 디자인', '언리얼', '사운드 큐']",입문자,"['Unreal Engine', '음향 시스템', 'meta sound', '작곡']","['NEW', '게임 개발', '기타']",['강싸디']
177,CloudNet@와 함께하는 AWS 네트워킹 입문,"['AWS 퍼블릭 클라우드 서비스의 기초 지식', 'AWS 네트워킹 서비스 입문을 위한 지식', '실습과 도식화된 표현으로 깊이 있는 이해']",입문자,"['AWS', '네트워크']","['BEST', '개발 · 프로그래밍', '데브옵스 · 인프라']",['Ongja_CloudNet@']
178,프로그래밍 시작하기 : 도전! 45가지 파이썬 기초 문법 실습 (Inflearn Original),"['입문자도 쉽게 할 수 있는 프로그래밍 입문', '탄탄한 파이썬 기초 문법 학습', '퀴즈를 통한 파이썬 기초 문법 복습하기', '문서 & 코드 작업 대비 Jupyter Notebook 기초', '자주 사용하는 여러가지 문법 패턴 배우기', '기타 다양한 파이썬 활용 이야기']",초급자,['Python'],"['BEST', '개발 · 프로그래밍', '프로그래밍 언어']",['인프런']
179,독하게 되새기는 C 프로그래밍,"['C언어 입문/초급을 넘어서고 싶은 개발자', '컴파일러, 컴퓨터 구조, 운영체제와 연계한 C언어 구조', '메모리 디버깅 기법 및 스택프레임 원리와 구조', '보안 취약점의 의미와 시큐어 코딩의 핵심 원리', '멀티스레드 코딩 기법']",중급자,"['C', 'kernel', 'secure-coding']","['BEST', '개발 · 프로그래밍', '프로그래밍 언어']",['널널한 개발자']
180,넓고 얕게 외워서 컴공 전공자 되기,"['2진수, 16진수 체계와 진법변환 등 기초이론', '전가산기로 설명할 수 있는 컴퓨터 구조', '간단히 쉽게 이해하는 운영체제 구조', '프로그래밍이란 무엇이고 컴파일러와 인터프리터 등 방식에 대한 이해', '자료구조에 대한 맛보기', '동시성, 원자성, 병렬성 등 고급 이론을 위한 어휘에 대한 이해']",입문자,['운영체제'],"['BEST', '개발 · 프로그래밍', '교양 · 기타']",['널널한 개발자']
181,모든 개발자의 실무를 위한 올인원 기본기 클래스,"['클린 코드 핵심', '객체 지향 프로그래밍과 리팩토링', '실무에서 사용하는 테스트 코드 작성법', '소프트웨어 아키텍처 기초와 패턴(클린 아키텍처)', 'Git 실무 사용법', '실무에서 알아야 할 개발 지식']",초급자,"['객체지향', '소프트웨어 테스트', '아키텍처', 'Git', 'Python']","['BEST', '개발 · 프로그래밍', '프론트엔드']",['그랩']
182,타입스크립트 입문 - 기초부터 실전까지,"['타입스크립트 개발', '자바스크립트에 타입스크립트를 적용하는 방법', '타입 시스템', '프런트엔드 개발', 'ES6']",초급자,"['TypeScript', 'ES6', 'JavaScript']","['BEST', '개발 · 프로그래밍', '프로그래밍 언어']",['장기효(캡틴판교)']
183,코틀린 고급편,"['코틀린의 어려운 문법들을 쉽고 빠르게 학습할 수 있어요', '제네릭 / 지연과 위임 / 복잡한 함수형 프로그래밍 / DSL / 어노테이션과 리플렉션을 다뤄요']",중급자,"['Kotlin', '객체지향', '함수형 프로그래밍']","['개발 · 프로그래밍', '프로그래밍 언어']",['최태현']
184,[인프런x코드캠프] 부트캠프에서 만든 고농축 프론트엔드 코스,"['실무 포트폴리오 2개', '최신 기술 스택을 활용한 8개의 프로젝트 구현', '전체적인 개발 사이클 완벽 이해', '실무 커뮤니케이션 역량 증진', '+α 백엔드의 기본 CRUD까지 습득']",입문자,"['React', 'Next.js', 'GraphQL', 'SEO', 'Node.js']","['BEST', '개발 · 프로그래밍', '프론트엔드']",['코드캠프']
185,[중급편] 코인 가격 모니터링 앱 제작 (Android Kotlin),"['Android Splash API', 'Navigation', 'ViewModel', 'LiveData', 'Retrofit', 'DataStore', 'Lottie', 'Room', 'WorkManager', 'Foreground Service', 'BootReceiver', 'ViewBinding']",중급자,"['Kotlin', 'Android']","['BEST', '개발 · 프로그래밍', '모바일 앱 개발']",['개복치개발자']
186,[인프런x코드캠프] 시작은 프리캠프,"['비전공자도 한번에 알아듣는 코딩 프로그램 설치법', '웹과 개발에 대한 진짜 기초 개발 상식', '모든 웹의 기본 회원가입의 기획부터 구현까지', '개발자의 다이어리, 깃허브 관리 법', '개발자가 꼭 알아야 하는 협업툴 다루는 법']",입문자,"['HTML/CSS', 'JavaScript']","['BEST', '개발 · 프로그래밍', '웹 개발']",['코드캠프']
187,[입문자를 위한 UE5] Part5. 언리얼 엔진 VR,"['언리얼 엔진 VR 게임 개발', 'VR 게임 개발']",중급자,"['Unreal Engine', 'UE Blueprint', 'VR/AR']","['게임 개발', '게임 프로그래밍']",['Rookiss']
188,[입문자를 위한 UE5] Part1. 언리얼 엔진 블루프린트,"['언리얼 엔진 기초', '블루프린트']",입문자,"['UE Blueprint', 'Unreal Engine']","['BEST', '게임 개발', '게임 프로그래밍']",['Rookiss']
189,파이썬을 활용한 머신러닝 딥러닝 입문,"['sklearn을 활용한 전통적 머신러닝 모델', 'tensorflow와 keras를 활용한 딥러닝 모델', 'pandas, numpy, matplotlib 기초']",입문자,"['머신러닝', '딥러닝', 'Python', 'Numpy', 'Pandas']","['데이터 사이언스', '인공지능']",['YoungJea Oh']
190,자바 개발자를 위한 코틀린 입문(Java to Kotlin Starter Guide),"['Kotlin의 기초적인 문법, 개념에 대한 등장 배경, 동작 원리, 사용 사례', 'Kotlin과 Java를 함께 사용할 때 주의할 점']",초급자,"['Kotlin', 'Java', '객체지향']","['BEST', '개발 · 프로그래밍', '프로그래밍 언어']",['최태현']
191,Spring Cloud로 개발하는 마이크로서비스 애플리케이션(MSA),"['Spring Cloud', 'Spring Boot', 'Cloud Native Application', 'Microservice Architecture', 'MSA Application', '스프링 부트', '스프링 클라우드', '마이크로서비스']",초급자,"['Spring Cloud', 'MSA', 'Spring Boot', 'Kafka', '아키텍처']","['BEST', '개발 · 프로그래밍', '백엔드']",['Dowon Lee']
192,"실무에서 사용하는 클라우드 프로그래밍 (AWS, Python, Terraform, 보안)","['Python', 'Terraform', 'AWS', 'Security', 'DevOps', 'DevSecOps']",초급자,"['Python', 'Terraform', 'AWS', 'devsecops']","['BEST', '보안 · 네트워크', '보안']",['천강민']
193,"파이썬입문과 크롤링기초 부트캠프 [파이썬, 웹, 데이터 이해 기본까지] (2023년까지 업데이트)","['파이썬 입문', '크롤링 입문', '데이터를 프로그래밍으로 다루는 기법', '데이터 과학 입문 (데이터 수집 기술)', '데이터를 다루기 위해 필요한 기술과 데이터 포맷(웹기술, JSON, XML등)', '파이썬으로 엑셀을 다루는 기법', '파이썬으로 OPEN API 사용하는 방법']",입문자,"['Python', '웹 크롤링']","['BEST', '데이터 사이언스', '데이터 분석']",['잔재미코딩']
194,그림으로 쉽게 배우는 네트워크,"['컴퓨터 네트워크', '컴퓨터 과학(CS)', '인터넷의 구조']",입문자,['네트워크'],"['BEST', '보안 · 네트워크', '네트워크']",['감자']
195,입문자를 위한 코딩테스트 핵심(이론과 문제풀이) [Python],"['자료구조 및 알고리즘 기초를 배웁니다.', '코딩테스트에 필요한 이론을 배우고 다양한 기초문제를 풀어봅니다.']",입문자,"['Python', '코딩 테스트']","['개발 · 프로그래밍', '알고리즘 · 자료구조']",['김태원']
196,한 입 크기로 잘라먹는 타입스크립트(TypeScript),"['타입스크립트', '타입스크립트의 필요성과 특징', '타입 시스템에 대한 깊은 이해', '타입을 집합으로 이해하기', '리액트와 함께 타입스크립트 사용하기']",초급자,['TypeScript'],"['BEST', '개발 · 프로그래밍', '프로그래밍 언어']",['이정환 Winterlood']
197,three.js로 시작하는 3D 인터랙티브 웹,"['WebGL 라이브러리 three.js를 이용한 3D 웹 구현', '바닐라 자바스크립트를 활용한 3D 인터랙티브 웹 개발']",초급자,"['인터랙티브 웹', 'Blender', 'Three.js']","['BEST', '개발 · 프로그래밍', '프론트엔드']",['1분코딩']
198,자바스크립트 알고리즘 문제풀이 입문(코딩테스트 대비),"['자바스크립트를 이용한 알고리즘 문제풀이 방법 배우기', '자바스크립트를 이용한 문제해결능력 향상']",입문자,"['JavaScript', '코딩 테스트']","['BEST', '개발 · 프로그래밍', '알고리즘 · 자료구조']",['김태원']
199,"더 개발자, 인터뷰 가이드","['개발자를 채용할 때 물어보면 좋은 질문과 평가 방안', '이직 또는 구직할 때 도움이 되는 팁', '소프트 스킬 및 하드 스킬 파악에 도움이 되는 질문과 해설']",초급자,"['면접', '코딩 테스트']","['BEST', '커리어', '취업 · 이직']",['백기선']
200,스프링과 JPA 기반 웹 애플리케이션 개발,"['스프링, JPA, 타임리프를 익힐 수 있습니다.', '스프링과 JPA를 사용해서 실제 웹 서비스를 개발할 수 있습니다.']",중급자,"['Java', 'Spring', 'Spring Boot', 'Thymeleaf', 'JPA']","['BEST', '개발 · 프로그래밍', '백엔드']",['백기선']
201,스프링 부트 개념과 활용,"['스프링 부트의 핵심 원리', '스프링 부트가 제공하는 주요 기능', '스프링 부트를 이용한 웹 애플리케이션 개발']",중급자,"['Spring', 'Spring Boot', 'Java']","['BEST', '개발 · 프로그래밍', '백엔드']",['백기선']
202,이득우의 언리얼 프로그래밍 Part2 - 언리얼 게임 프레임웍의 이해,"['언리얼 엔진 기초 사용법', '언리얼 C++ 프로그래밍', '언리얼 엔진 게임 제작', '언리얼 엔진 게임 설계 방법']",중급자,"['Unreal Engine', '언리얼 C++', 'UE Blueprint']","['BEST', '게임 개발', '게임 프로그래밍']",['이득우']
203,카프카 완벽 가이드 - 커넥트(Connect) 편,"['카프카 커넥트 주요 구성요소들의 핵심 메커니즘', 'CDC(Change Data Capture)의 이해와 실무 적용 기법', 'MySQL 데이터 복제와 CDC(Change Data Capture) 이해 및 실무 적용 방안', 'Debezium CDC Source 커넥터의 핵심 메커니즘과 특징', 'Debezium CDC 소스 커넥터를 이용한 RDBMS간 데이터 연동', 'Debizium 커넥트 기반의 연동 시스템 구축 노하우', 'JDBC 기반의 Source 커넥터와 Sink Connector 환경 설정 및 구동', '메시지 변환을 위한 다양한 SMT 클래스들의 적용', 'REST API를 이용한 커넥트 관리', '스키마 레지스트리(Schema Registry)의 활용과 커넥트와의 통합', 'REST API를 이용한 스키마 레지스트리 관리']",중급자,"['Kafka', '데이터 엔지니어링']","['데이터 사이언스', '데이터 수집 · 처리']",['권 철민']
204,스파크 머신러닝 완벽 가이드 - Part 1,"['스파크에서 머신러닝 모델 구현하기', '스파크의 데이터 처리 기반인 DataFrame에 대한 상세한 이해', '스파크 머신러닝 Framework을 구성하는 다양한 기술 요소 이해', '스파크의 머신러닝 파이프 라인 익히기', '데이터 분석을 위한 SQL 활용 능력', 'SQL 기반의 Feature Engineering 기법', '스파크에서 XGBoost와 LightGBM으로 모델 구현하기', '베이지안 최적화 기반의 모델 하이퍼 파라미터 튜닝 방법', '난이도 높은 실전 문제를 통해 데이터 분석과 ML 모델 구현 실력을 동시에 향상', '분석 도메인 기반의 데이터 분석 방법', '여러가지 데이터 시각화 기법']",중급자,"['Apache Spark', '머신러닝', '빅데이터', '데이터 엔지니어링']","['BEST', '데이터 사이언스', '데이터 분석']",['권 철민']
205,PM을 위한 데이터 리터러시(프로덕트 데이터 분석),"['데이터 기반 업무 프로세스', '프로덕트 데이터 분석', '실험 설계(AB Test)', '지표 정의하기', '데이터 로그 설계(데이터 로깅)', 'ChatGPT를 사용한 예시']",초급자,"['데이터 리터러시', 'metric hierarchy', 'AB test']","['BEST', '비즈니스 · 마케팅', '기획 · 전략 · PM']",['카일스쿨']
206,스프링 DB 1편 - 데이터 접근 핵심 원리,"['스프링 DB 접근 기술', '스프링을 통해 DB를 사용하는 다양한 방법', '스프링을 통해 DB를 사용하는 내부 원리']",초급자,"['Spring', 'MVC', 'spring-jdbc']","['BEST', '개발 · 프로그래밍', '백엔드']",['김영한']
207,모든 개발자를 위한 HTTP 웹 기본 지식,"['네트워크 기본', 'HTTP 핵심 이해', 'HTTP API 설계 방법']",초급자,['네트워크'],"['BEST', '개발 · 프로그래밍', '웹 개발']",['김영한']
208,언리얼로 만드는 게임사운드 - 개요,"['게임사운드', '언리얼', '사운드디자인']",입문자,"['Unreal Engine', '음향 시스템', 'meta sound', 'sound']","['NEW', '게임 개발', '기타']",['강싸디']
209,언리얼로 만드는 게임사운드 - 중.고급 과정,"['게임사운드', '메타사운드', '사운드디자인', '언리얼', '블루프린트', '게임사운드 포트폴리오']",중급자,"['Unreal Engine', '음향 시스템', 'meta sound', 'sound', '작곡']","['NEW', '게임 개발', '기타']",['강싸디']
210,면접 전에 알고 가면 좋을 것들 - 신입 Java 백엔드 개발자편,"['웹 서비스를 위한 네트워크 구조와 기능 요소', 'JVM구조와 GC 작동원리', 'HTTP 프로토콜의 버전별 차이', '이력서 작성 시 주의 사항과 권장 사항']",초급자,"['기술면접', '이력서', 'DBMS/RDBMS', 'tcpip']","['커리어', '취업 · 이직']",['널널한 개발자']
211,Oracle PL/SQL 딱 이만큼..,"['PL/SQL 기초문법', '시나리오를 통한 실전같은 PL/SQL', '운영업무에서 사용가능한 PL/SQL']",초급자,"['PL/SQL', 'SQL', 'Oracle']","['NEW', '개발 · 프로그래밍', '데이터베이스']",['IT늦공 김부장']
212,부트캠프에서 알려주지 않는 것들 (리액트 렌더링 최적화 편) 2편,"['리액트 렌더링 원리', '리액트 최적화 방법', '이미지 최적화', '리액트 최신 기능', 'Server component rendering']",중급자,"['React', 'react-usememo', '기술면접', 'Next.js']","['개발 · 프로그래밍', '웹 개발']",['애프터캠프']
213,엑셀 활용하기 : EXCEL 중급 (Inflearn Original),"['데이터 전처리에 필요한 스킬', '실무 데이터를 통한 데이터 분석과 시각화']",중급자,"['Excel', 'Excel PowerQuery', 'vlookup', 'MS-Office']","['비즈니스 · 마케팅', '오피스']",['인프런']
214,요즘 뜨는 프로덕트 디자이너 실무 가이드,"['IT 프로덕트 디자이너의 기초', 'UX 전략 및 설계하기', '고객을 이해하는 UX 리서치', '프로덕트 디자인 진행하기', '디자인 시스템 구축하기', '데이터를 활용한 디자인 수정하기']",입문자,"['Figma', 'ProtoPie', '디자인 시스템']","['크리에이티브', 'UX/UI']",['볼디']
215,GA4 필수 코스 (by 현직 실리콘밸리 마케팅 디렉터),"['배워서 바로 쓸 수 있는 구글애널리틱스 실무과정', '구글애널리틱스를 활용한 데이터 분석을 배울 수 있어요', 'GA4']",초급자,"['GA4', 'Google Analytics', 'Google Tag Manager', '디지털 마케팅', '퍼포먼스 마케팅']","['비즈니스 · 마케팅', '마케팅']",['Grace Shin']
216,Kotlin & Spring 네트워킹 밋업 다시보기,"['코틀린 + 스프링 스택 전환을 준비하는 분', '코틀린 + 스프링 조합에 관심 있는 분']",초급자,"['Kotlin', 'Spring']","['개발 · 프로그래밍', '백엔드']",['인프런']
217,누구나 할 수 있는 - SwiftUI Basic with iOS 16,"['SwiftUI Core - iOS 앱개발에 필요한 필수 사항들을 배웁니다', 'MVVM Architecture - 많이 사용되는 App 구조도 함께 배웁니다', 'Animation - App에서 Dynamic한 움직임을 할 수 있도록 배웁니다', 'Real Project - AppStore 에 있는 ""멸종위기동물사전"" 클론코딩 합니다', 'Newest Version - 최근 출시한 (iOS 15, 16) 업데이트된 사항을 배웁니다']",초급자,"['iOS', 'SwiftUI', 'Swift']","['개발 · 프로그래밍', '모바일 앱 개발']",['Jacob']
218,곰책으로 쉽게 배우는 최소한의 운영체제론,"['운영체제론', 'DMA, DirectX의 의미와 원리', 'CPU 작동과 캐시 메모리', '프로세스와 스레드', '가상 메모리 시스템']",입문자,['운영체제'],"['BEST', '개발 · 프로그래밍', '교양 · 기타']",['널널한 개발자']
219,외워서 끝내는 네트워크 핵심이론 - 기초,"['OSI 7 layer를 외우지 않아도 되는 이유', 'TCP/IP 네트워크 구조', '인터넷에 대한 기본 이해', '웹 서비스 시스템의 작동원리', 'Port 번호의 역할', 'Packet의 생성부터 소멸까지 일련의 과정']",입문자,"['네트워크', '프로토콜']","['BEST', '보안 · 네트워크', '네트워크']",['널널한 개발자']
220,내 가치를 높이는 노션 이력서 만들기,"['노션으로 이력서 제작하는 법', '웹 서비스처럼 이력서 기획하고 구성하는 법', '이력서 각 섹션을 구성할 때 유의할 점', '데이터 활용 능력을 어필할 수 있는 이력서 작성 팁', '노션 페이지를 웹 페이지로 만들고 공유하는 법', '내 이력서 사람들이 잘 보고 있는지 데이터로 확인하는 법']",입문자,"['이력서', 'Notion']","['커리어', '취업 · 이직']",['이보민']
221,오늘부터 개발자 - 개발자를 준비하기 전 꼭 알아야 할 것,"['오늘부터 나도 개발자가 되기 위해 알아야 할 것들', '그냥 개발자가 궁금하다면', '개발자를 준비하기 전에 꼭 알아야 할 것들']",입문자,"['면접', '포트폴리오']","['BEST', '커리어', '취업 · 이직']",['김병욱']
222,"모의해킹 실무자가 알려주는, XSS 공격 기법","['XSS 공격에 대한 개념', 'XSS 공격 원리', 'XSS 공격의 종류', 'XSS 공격 방법론']",초급자,"['모의해킹', 'xss']","['BEST', '보안 · 네트워크', '보안']",['크리핵티브']
223,[따라하면 취업되는 게임기획]실전 농장 SNG 게임,"['게임기획', '농장 SNG 게임기획', '게임개발']",입문자,['게임기획'],"['게임 개발', '게임 기획']",['JamesKim']
224,나만의 캐릭터를 만들 수 있는 지브러시 (Zbrush) 기초,"['지브러시 작업과정의 이해', '필수 기능 학습', '지브러시를 활용한 캐릭터 제작', '지브러스를 활용한 다양한 형태의 오브젝트 제작하기']",입문자,"['ZBrush', '캐릭터 디자인']","['BEST', '크리에이티브', 'CAD · 3D 모델링']",['청강문화산업대학교']
225,비전공자를 위한 진짜 입문 올인원 개발 부트캠프,"['HTML, CSS, JS 기본', '웹 개발 (React)', '모바일 앱 개발 (React Native)', '서버 개발 (Node.js)', '머신러닝 개발 (Tensorflow js)', 'Git', '클라우드', '필수 개발 지식']",입문자,"['JavaScript', 'React', 'Node.js', 'Express', 'React Native']","['BEST', '개발 · 프로그래밍', '풀스택']",['그랩']
226,모두를 위한 파이썬 : 필수 문법 배우기 Feat. 오픈소스 패키지 배포 (Inflearn Original),"['수준있는 파이썬 중급 문법', '파이썬 애플리케이션 작성을 위한 수준있는 문법', '오픈소스 프로젝트 참가', '파이썬 기술 면접 대비 수준있는 지식', '개발자(엔지니어)를 위한 프로그래밍 지식', '기타 개발 관련 지식']",중급자,['Python'],"['BEST', '개발 · 프로그래밍', '프로그래밍 언어']",['인프런']
227,Vue.js 시작하기 - Age of Vue.js,"['프런트엔드 개발', '화면 UI 개발', 'Javascript', '웹 개발', 'Vue.js 개발', 'Vue.js']",초급자,"['JavaScript', 'Vue.js']","['BEST', '개발 · 프로그래밍', '프론트엔드']",['장기효(캡틴판교)']
228,친절한 블렌더 - [LV.1] 기초 모델링,"['오브젝트 모드, 에디트 모드에서 알아야 할 원리와 기능들', '자주 사용하는 모디파이어와 활용 방법', '컨트롤 메뉴들과 활용 방법', '카메라, 빛, Eevee렌더, Color Management 활용 방법']",초급자,"['Blender', '3d-modelling', '3d-rendering', '3d']","['크리에이티브', 'CAD · 3D 모델링']",['codemod']
229,"롱런하는 슈퍼 개발자가 되기 위한 필수 지식, IT 인프라 기초 총정리","['기업IT 인프라 구성 요소에 대한 기초 개념', '실제 IT 인프라 운영 전반에서 활용되는 다양한 기술과 용어', 'IT인프라 운영에서 발생하는 대표적인 장애 상황과 대처 방안', 'IT인프라 운영자와 개발자간의 바람직한 커뮤니케이션 방법']",입문자,"['infrastructure', 'cloud-computing', '네트워크', 'security', 'server-client']","['보안 · 네트워크', '시스템']",['쉐어드IT']
230,2시간으로 끝내는 코루틴,"['코루틴이 루틴과 어떻게 다른지, 스레드와 어떻게 다른지 알 수 있어요!', '코루틴을 어떻게 만들고 사용하는지, 코루틴이 어떻게 동작하는지를 이해할 수 있어요!']",초급자,"['Kotlin', 'coroutine']","['개발 · 프로그래밍', '프로그래밍 언어']",['최태현']
231,Airflow 마스터 클래스,"['Airflow 개념과 기초', 'Airflow 기반 파이프라인 개발', 'Airflow로 자동 Email 전송하기', 'Airflow를 활용한 공공데이터 API 호출 및 시각화', 'Airflow & 카카오, Slack을 활용한 메시지 알람', 'Airflow로 ChatGPT를 활용하기']",초급자,"['airflow', '데이터 엔지니어링', 'Python']","['데이터 사이언스', '데이터 수집 · 처리']",['김현진']
232,"비전공자의 전공자 따라잡기 - 데이터베이스,SQL","['데이터베이스 이론', 'MySQL', 'ERD', '정규화', '워크벤치 사용법']",입문자,"['DBMS/RDBMS', 'SQL', 'MySQL', 'mysql-workbench']","['개발 · 프로그래밍', '데이터베이스']",['조현영']
233,제대로 파는 자바 (Java) - by 얄코,"['자바의 기초부터 상세 문법과 고급 사용법', '자바에 대한 깊이 있는 이론, 실전 지식', '자바 17 기준 최신 기능과 문법', '자바의 객체지향 프로그래밍', '컬렉션과 스트림을 통한 함수형 프로그래밍', '멀티태스킹을 위한 고급 기술들', '리플렉션을 통한 고급 기능들 구현', '빌드 툴과 라이브러리 활용법']",입문자,"['Java', '객체지향', '함수형 프로그래밍']","['개발 · 프로그래밍', '프로그래밍 언어']",['얄팍한 코딩사전']
234,면접관 입장에서 작성하는 합격하는 이력서와 포트폴리오,"['면접관이 생각하는 좋은 이력서', '문제와 해결책 위주로 작성하는 방법', '공고분석을 통한 확실한 포트폴리오 전략']",입문자,"['이력서', '포트폴리오']","['커리어', '취업 · 이직']",['양동준']
